"","Rep","True_Beta","Mean_Beta","Lower95_Beta","Upper95_Beta"
"4939",86,0.0456331306047214,0.0706424928010648,0.000195243261329282,0.182913479648532
"6399",103,0.109551086648619,0.0765370392622254,0.00125058935781647,0.160721798870015
"9264",143,0.048045424025456,0.0693063144851716,0.00159715435797501,0.173185442272235
"19914",297,0.294759046536535,0.174065886702341,0.0638225434646441,0.278903175618656
"3154",63,0.339851221221629,0.372701930885253,0.300025003747101,0.498879197022182
"1238",31,0.0832504938002325,0.110255051961805,0.00476671973090097,0.215797516293291
"2182",48,0.158919085751599,0.0648873074293296,0.000742242737149058,0.15642199587891
"26389",389,0.0652575772008904,0.105713269926618,0.0400781961725001,0.17026465624463
"21565",322,0.210628605995335,0.117254038075646,0.0291354061040094,0.203948207852594
"23111",344,0.280365583981016,0.257719285678541,0.17897579601523,0.3518475907287
"20378",305,0.179744464575843,0.156632132924987,0.061358914267432,0.261937704378169
