"Rep","TruePeak","Cases","TreeSize","TrueGamma","TruePhi","TruePsi","GammaMean","PhiMean","PsiMean","RunTime"
530,2142,939,24,0.114540468064073,0.0143070017123716,0.000372055118413854,0.166777200616596,0.0171977821606875,0.000501935357285657,21.0809221583333
533,2036,1007,19,0.14040702554331,0.0191566655534006,0.000365920005736667,0.215200944702657,0.0303916618519384,0.00080391995004008,6.77131349028333
534,3319,1996,67,0.0805690791096919,0.0213155535280293,0.000719648244281767,0.155192920778701,0.0254972887327042,0.000856152395558365,9.75220757221667
535,1161,284,18,0.202767570407791,0.00859466615915736,0.000552587961152963,0.172366412971916,0.0148004801579537,0.00086827955961791,5.75290952291667
536,1172,592,39,0.164637288143485,0.0165829608967574,0.00109950185167436,0.186470152067788,0.016289093347238,0.00106272620550228,6.94366987221667
537,1069,402,22,0.202869620590527,0.0107383694614963,0.000597928019785969,0.159834038029966,0.0214079973633994,0.00114758971700028,5.840330975
541,1776,1076,51,0.159318789966866,0.0241613144067284,0.00115064708714791,0.185991574245107,0.0262383419996983,0.00126426895862408,19.4789089166667
542,5022,294,17,0.0642103221932083,0.0021576709407752,0.000124104442402799,0.14195784902812,0.00731477337474266,0.000516053714560487,6.93205604375
544,1169,237,13,0.185361883751603,0.00601439688092284,0.000320640787389799,0.167223518193309,0.0113592981144731,0.000775944800429364,5.97372482778333
546,6997,485,24,0.0287781685117643,0.00189310061921803,9.48777737051079e-05,0.104955228037994,0.0118884376972107,0.000662844732074678,6.78135133055
547,610,576,32,0.208284456652944,0.0252244953640944,0.00137850071580582,0.213165789146169,0.0232748967092286,0.00115721451516001,6.6155072375
548,1527,1808,82,0.146089209006198,0.0423750049292902,0.00191689411098679,0.163238993111141,0.0313447734499784,0.0013385229587475,9.34215022846667
549,2245,1902,59,0.101305762509582,0.0293080467402725,0.000903058669971949,0.143562119868377,0.0302914593447342,0.00098550205637892,8.67844872846667
550,2774,1119,64,0.104807853789497,0.0145391382946058,0.000832233141205985,0.141545234886576,0.0201734063468342,0.00114859016870004,8.7658228625
551,2586,1476,36,0.110668291675661,0.021514342867292,0.000519048222201709,0.172183621211837,0.0235318806277683,0.000717919188290444,8.52226146388333
